iter	Logloss
0	0.691961676
1	0.6908529846
2	0.6898654724
3	0.6889462158
4	0.6880471008
5	0.6872247803
6	0.6864742676
7	0.6857861694
8	0.6852000977
9	0.684584668
10	0.6840527649
11	0.6835991516
12	0.6831414612
13	0.6827484619
14	0.6823235229
15	0.681927594
16	0.6816536987
17	0.6813377747
18	0.6810445251
19	0.6808382019
20	0.6805594299
21	0.6802770874
22	0.6800094177
23	0.6797739807
24	0.6795973022
25	0.6793610168
26	0.6791484436
27	0.6789620728
28	0.6787840271
29	0.6786164673
30	0.6784513367
31	0.6782773987
32	0.6781244324
33	0.6779744812
34	0.6778065369
35	0.6776761841
36	0.6775980408
37	0.6774618286
38	0.6773691895
39	0.6772598877
40	0.6770883423
41	0.6769503967
42	0.6768472046
43	0.6767128601
44	0.6765922424
45	0.6764779114
46	0.6763343079
47	0.6762206055
48	0.6760951233
49	0.6759686035
50	0.6758768799
51	0.6757792908
52	0.6756605957
53	0.6755540955
54	0.6754774841
55	0.6753647034
56	0.6752933838
57	0.6752103821
58	0.6750912048
59	0.6749899658
60	0.6749089905
61	0.6747972534
62	0.6746839417
63	0.6746057129
64	0.6745092346
65	0.6744444885
66	0.6743697937
67	0.6742624023
68	0.6741894104
69	0.6741049866
70	0.6740404968
71	0.6739498108
72	0.6738689331
73	0.6737942444
74	0.6736975891
75	0.673616156
76	0.6735045166
77	0.6734311768
78	0.6733311951
79	0.6732452271
80	0.6731520142
81	0.6730657166
82	0.6729844482
83	0.6729294678
84	0.6728570496
85	0.6727669434
86	0.6727066467
87	0.6726056519
88	0.6725581909
89	0.672471875
90	0.6723977112
91	0.6723192078
92	0.6722449951
93	0.6721850952
94	0.6720865173
95	0.6719882874
96	0.6719087402
97	0.6718456421
98	0.6717549377
99	0.6716606262
100	0.67157453
101	0.6715098206
102	0.6714637939
103	0.6714145935
104	0.6713453979
105	0.6712650818
106	0.6711750244
107	0.6710947388
108	0.6710062805
109	0.6709347717
110	0.6708749084
111	0.6708098511
112	0.6707546936
113	0.6706971313
114	0.6706582031
115	0.6705803528
116	0.6704843689
117	0.6704266235
118	0.6703553711
119	0.6702789795
120	0.6701971313
121	0.670122583
122	0.6700496033
123	0.6699931274
124	0.6699053223
125	0.6698387146
126	0.6697599304
127	0.6696883301
128	0.6696197205
129	0.6695816467
130	0.6694778687
131	0.6694089294
132	0.6693095093
133	0.6692355469
134	0.6691806519
135	0.6691193665
136	0.6690598083
137	0.668997345
138	0.6689203491
139	0.6688473755
140	0.6687963501
141	0.6687434998
142	0.6686507446
143	0.6686021545
144	0.6685355957
145	0.6684828735
146	0.6683965271
147	0.6683448303
148	0.6682644653
149	0.6681966187
150	0.6681261292
151	0.6680801086
152	0.6680078369
153	0.6679362
154	0.6678771118
155	0.6677887756
156	0.6677381531
157	0.6676700989
158	0.6675865967
159	0.6675264832
160	0.6674794006
161	0.6674225952
162	0.6673629822
163	0.6673101868
164	0.6672561584
165	0.6671654846
166	0.6670978333
167	0.6670334045
168	0.6669539307
169	0.6668727356
170	0.6668087036
171	0.6667615784
172	0.6667000854
173	0.666650946
174	0.6666052795
175	0.6665377197
176	0.6664786987
177	0.6664328186
178	0.6663402832
179	0.6662904602
180	0.6662398865
181	0.6661802246
182	0.6661145142
183	0.6660507996
184	0.6660012329
185	0.6659360229
186	0.6658753845
187	0.665833374
188	0.6657819031
189	0.665704364
190	0.665630365
191	0.6655565918
192	0.6655021606
193	0.6654412231
194	0.6653749207
195	0.6653124512
196	0.6652427185
197	0.6651752808
198	0.665110614
199	0.6650339844
200	0.6649843506
201	0.664921521
202	0.6648691589
203	0.6648018921
204	0.6647435303
205	0.664695813
206	0.6646299988
207	0.6645445679
208	0.6644808228
209	0.6644233398
210	0.6643697021
211	0.6643265686
212	0.6642704529
213	0.6641743774
214	0.664117041
215	0.6640530212
216	0.6639989014
217	0.6639382812
218	0.6638726746
219	0.6638358337
220	0.6637790894
221	0.6637288025
222	0.6636875122
223	0.6636319214
224	0.6635837402
225	0.6635054443
226	0.663427301
227	0.6633606323
228	0.6633128479
229	0.6632462341
230	0.663183136
231	0.6631165222
232	0.6630238525
233	0.662964386
234	0.6628931702
235	0.6628370422
236	0.6627728455
237	0.6626907532
238	0.6626034485
239	0.6625392029
240	0.6624890198
241	0.6624246094
242	0.6623637817
243	0.6622898437
244	0.6622200256
245	0.6621471985
246	0.662078717
247	0.6619985962
248	0.6619424438
249	0.6618690796
250	0.6617977173
251	0.6617314941
252	0.6616538147
253	0.661598761
254	0.6615421204
255	0.6614836609
256	0.6614122742
257	0.6613564453
258	0.6612927307
259	0.6612214722
260	0.6611522827
261	0.661098877
262	0.661030481
263	0.6609801331
264	0.6609249695
265	0.6608682007
266	0.6608143494
267	0.6607696045
268	0.660717926
269	0.6606570557
270	0.6605871277
271	0.6605180969
272	0.6604523987
273	0.6603873901
274	0.6603236389
275	0.6602441711
276	0.660187262
277	0.6601245483
278	0.6600570007
279	0.660029187
280	0.6599766663
281	0.6599197327
282	0.6598391113
283	0.6597809448
284	0.6597321289
285	0.6596627075
286	0.6595704651
287	0.6595218323
288	0.659485907
289	0.659425177
290	0.6593714783
291	0.6593158386
292	0.6592531006
293	0.6591994446
294	0.6591198425
295	0.6590476929
296	0.6589802368
297	0.6589257446
298	0.6588679626
299	0.6588009827
