iter	Passed	Remaining
0	171	51225
1	194	29007
2	214	21255
3	235	17435
4	259	15302
5	283	13891
6	305	12790
7	328	11973
8	352	11404
9	376	10912
10	404	10632
11	436	10476
12	464	10255
13	495	10129
14	536	10193
15	582	10331
16	613	10220
17	650	10193
18	677	10020
19	699	9790
20	724	9623
21	751	9500
22	776	9357
23	802	9233
24	840	9245
25	883	9305
26	932	9431
27	988	9600
28	1033	9655
29	1061	9554
30	1086	9428
31	1116	9351
32	1150	9305
33	1179	9229
34	1206	9134
35	1240	9094
36	1260	8957
37	1290	8900
38	1318	8822
39	1350	8780
40	1376	8696
41	1398	8592
42	1430	8546
43	1459	8493
44	1489	8442
45	1514	8361
46	1539	8287
47	1563	8210
48	1589	8142
49	1614	8073
50	1639	8004
51	1663	7934
52	1688	7868
53	1711	7797
54	1735	7730
55	1761	7677
56	1786	7617
57	1811	7558
58	1846	7541
59	1883	7532
60	1920	7523
61	1945	7466
62	1968	7404
63	1991	7343
64	2016	7291
65	2039	7232
66	2066	7185
67	2092	7137
68	2116	7085
69	2139	7028
70	2160	6969
71	2185	6920
72	2213	6884
73	2240	6842
74	2268	6805
75	2295	6766
76	2329	6746
77	2366	6736
78	2399	6711
79	2427	6674
80	2458	6646
81	2489	6617
82	2527	6609
83	2557	6576
84	2585	6538
85	2616	6511
86	2643	6472
87	2667	6425
88	2688	6373
89	2715	6336
90	2738	6289
91	2760	6240
92	2789	6209
93	2819	6178
94	2842	6134
95	2866	6092
96	2890	6049
97	2914	6006
98	2937	5964
99	3006	6012
100	3031	5972
101	3054	5929
102	3081	5893
103	3108	5858
104	3137	5826
105	3162	5788
106	3185	5745
107	3211	5708
108	3242	5682
109	3270	5649
110	3292	5605
111	3317	5567
112	3338	5525
113	3360	5483
114	3382	5441
115	3407	5404
116	3430	5365
117	3451	5323
118	3478	5291
119	3506	5259
120	3530	5223
121	3554	5186
122	3578	5150
123	3603	5114
124	3625	5075
125	3647	5037
126	3679	5012
127	3711	4986
128	3740	4958
129	3765	4923
130	3792	4892
131	3821	4863
132	3850	4834
133	3878	4804
134	3905	4773
135	3929	4738
136	3954	4704
137	3979	4672
138	4006	4640
139	4029	4605
140	4052	4569
141	4074	4533
142	4112	4515
143	4143	4488
144	4168	4455
145	4189	4419
146	4212	4384
147	4236	4351
148	4259	4316
149	4280	4280
150	4306	4249
151	4329	4215
152	4350	4180
153	4373	4146
154	4398	4114
155	4420	4080
156	4446	4049
157	4476	4023
158	4505	3995
159	4535	3968
160	4570	3945
161	4608	3925
162	4635	3896
163	4659	3863
164	4682	3831
165	4707	3799
166	4729	3766
167	4754	3735
168	4778	3704
169	4803	3673
170	4827	3641
171	4851	3610
172	4874	3578
173	4901	3549
174	4933	3523
175	4966	3499
176	4999	3474
177	5033	3449
178	5060	3420
179	5084	3389
180	5106	3357
181	5129	3325
182	5152	3294
183	5176	3263
184	5199	3232
185	5227	3203
186	5251	3173
187	5279	3145
188	5305	3115
189	5329	3085
190	5352	3054
191	5378	3025
192	5406	2997
193	5433	2968
194	5468	2944
195	5505	2921
196	5531	2892
197	5558	2863
198	5585	2834
199	5617	2808
200	5643	2779
201	5670	2751
202	5700	2723
203	5726	2694
204	5753	2666
205	5785	2639
206	5809	2610
207	5836	2581
208	5863	2553
209	5893	2525
210	5922	2497
211	5947	2468
212	5974	2440
213	6000	2411
214	6028	2383
215	6059	2356
216	6085	2327
217	6108	2297
218	6135	2269
219	6158	2239
220	6183	2210
221	6209	2181
222	6231	2151
223	6253	2121
224	6277	2092
225	6301	2063
226	6326	2034
227	6355	2007
228	6390	1981
229	6423	1954
230	6456	1928
231	6493	1903
232	6523	1875
233	6548	1847
234	6580	1820
235	6605	1791
236	6628	1762
237	6652	1732
238	6680	1705
239	6702	1675
240	6726	1646
241	6754	1618
242	6793	1593
243	6825	1566
244	6852	1538
245	6879	1510
246	6902	1481
247	6924	1451
248	6948	1423
249	6972	1394
250	6997	1366
251	7020	1337
252	7043	1308
253	7067	1279
254	7093	1251
255	7116	1223
256	7145	1195
257	7171	1167
258	7197	1139
259	7219	1110
260	7252	1083
261	7281	1056
262	7305	1027
263	7327	999
264	7351	970
265	7375	942
266	7403	915
267	7433	887
268	7468	860
269	7498	833
270	7524	805
271	7551	777
272	7577	749
273	7601	721
274	7628	693
275	7655	665
276	7693	638
277	7738	612
278	7781	585
279	7818	558
280	7863	531
281	7895	503
282	7925	476
283	7956	448
284	7984	420
285	8016	392
286	8042	364
287	8071	336
288	8094	308
289	8117	279
290	8148	252
291	8188	224
292	8221	196
293	8247	168
294	8275	140
295	8301	112
296	8326	84
297	8352	56
298	8376	28
299	8405	0
