feature,importance
past_purchase_count,7.668607974472735
session_length_minutes,7.4282254577681925
product_price,7.064102961446889
discount_percent,6.969023415297971
delivery_delay_days,6.912637188868903
num_product_views,6.608545355292644
product_rating,6.25973226319915
past_return_rate,6.206766447559293
used_coupon,5.926971955406117
shipping_method_express,5.7600675780317445
customer_age,4.866928047477321
product_category_electronics,3.659175276155545
payment_method_apple_pay,3.6269287325448136
product_category_clothing,3.232937378399102
device_type_mobile,2.755903112089899
device_type_desktop,2.719630899824127
payment_method_debit_card,1.9482295885804144
product_category_toys,1.7117408502284919
product_category_home,1.6513164937805522
shipping_method_same_day,1.3088821961709254
product_category_sports,1.2406466633117383
payment_method_paypal,1.0512784760408336
payment_method_credit_card,0.9713826811025135
product_category_beauty,0.9668992773370171
shipping_method_standard,0.7628551194973779
device_type_tablet,0.7205846101157112
