feature,importance
discount_percent,1036
session_length_minutes,985
product_price,955
product_rating,867
past_return_rate,853
delivery_delay_days,799
customer_age,700
num_product_views,610
past_purchase_count,534
used_coupon,168
product_category_clothing,153
payment_method_apple_pay,143
shipping_method_express,128
device_type_desktop,126
product_category_electronics,125
device_type_mobile,112
payment_method_debit_card,97
product_category_toys,96
product_category_home,88
shipping_method_same_day,83
product_category_beauty,74
product_category_sports,71
payment_method_credit_card,57
shipping_method_standard,57
payment_method_paypal,57
device_type_tablet,26
