feature,importance
past_purchase_count,291
delivery_delay_days,266
session_length_minutes,248
discount_x_coupon,247
product_rating,211
delay_x_rating,190
discount_percent,188
past_return_rate,185
customer_age,180
rating_x_return,150
num_product_views,148
product_category_clothing,145
product_price,142
discount_amount,141
device_type_desktop,131
product_category_electronics,131
payment_method_apple_pay,130
shipping_method_express,120
view_x_session,113
device_type_mobile,111
product_category_home,95
log_session_length,94
paid_amount_per_view,89
product_category_toys,83
price_per_view,83
shipping_method_same_day,78
views_x_rating,71
price_x_rating,70
product_category_sports,66
payment_method_debit_card,60
paid_amount,55
log_num_product_views,51
log_product_price,47
price_x_discount,43
log_paid_amount,42
used_coupon,41
payment_method_paypal,27
payment_method_credit_card,27
product_category_beauty,27
shipping_method_standard,21
device_type_tablet,6
is_delayed,3
high_discount,1
is_early,1
