feature,importance
shipping_method_express,0.092189774
product_category_electronics,0.07556869
used_coupon,0.0749845
product_category_clothing,0.060016386
device_type_mobile,0.04880935
payment_method_apple_pay,0.048807364
device_type_desktop,0.044443462
shipping_method_same_day,0.03967671
product_category_toys,0.035508856
product_category_home,0.033529885
shipping_method_standard,0.032474924
payment_method_debit_card,0.03167473
product_category_beauty,0.031117687
past_purchase_count,0.031101596
product_category_sports,0.031046443
delivery_delay_days,0.02778245
discount_percent,0.027587458
product_price,0.027531182
past_return_rate,0.027411083
session_length_minutes,0.027273457
product_rating,0.026609223
num_product_views,0.026268657
customer_age,0.025604602
payment_method_credit_card,0.024480222
device_type_tablet,0.024266427
payment_method_paypal,0.02423493
